PairID,Algorithm,X,Y,Z
0,RRT,0.221212,-1.06353e-08,0.427897
0,RRT,0.221273,0.000576075,0.428531
0,RRT,0.221463,0.00230375,0.430431
0,RRT,0.2218,0.00518115,0.433599
0,RRT,0.222314,0.00920475,0.438034
0,RRT,0.223048,0.0143688,0.443736
0,RRT,0.224056,0.0206643,0.450705
0,RRT,0.225405,0.0280737,0.458933
0,RRT,0.227027,0.0359213,0.467682
0,RRT,0.228841,0.0437265,0.476425
0,RRT,0.230846,0.0514838,0.485157
0,RRT,0.23304,0.059188,0.493879
0,RRT,0.235422,0.0668336,0.502586
0,RRT,0.237991,0.0744155,0.511278
0,RRT,0.240744,0.0819284,0.519952
0,RRT,0.243681,0.0893669,0.528606
0,RRT,0.246799,0.0967261,0.537237
0,RRT,0.250095,0.104001,0.545844
0,RRT,0.253567,0.111186,0.554425
0,RRT,0.257214,0.118277,0.562977
0,RRT,0.261031,0.125268,0.571499
0,RRT,0.265017,0.132155,0.579988
0,RRT,0.269167,0.138933,0.588442
0,RRT,0.27348,0.145597,0.59686
0,RRT,0.277951,0.152144,0.60524
0,RRT,0.282577,0.158567,0.613579
0,RRT,0.287355,0.164864,0.621875
0,RRT,0.292281,0.17103,0.630127
0,RRT,0.29735,0.17706,0.638333
0,RRT,0.302559,0.182952,0.64649
0,RRT,0.307904,0.1887,0.654598
0,RRT,0.313381,0.194301,0.662653
0,RRT,0.318984,0.199751,0.670655
0,RRT,0.324711,0.205048,0.678602
0,RRT,0.330555,0.210187,0.686491
0,RRT,0.336512,0.215165,0.694321
0,RRT,0.342578,0.219979,0.702091
0,RRT,0.348747,0.224627,0.709798
0,RRT,0.355015,0.229106,0.717441
0,RRT,0.361376,0.233412,0.725019
0,RRT,0.367826,0.237543,0.732529
0,RRT,0.374359,0.241498,0.739971
0,RRT,0.380969,0.245273,0.747342
0,RRT,0.387652,0.248868,0.754641
0,RRT,0.394402,0.252279,0.761867
0,RRT,0.401214,0.255505,0.769018
0,RRT,0.408081,0.258545,0.776093
0,RRT,0.414999,0.261397,0.78309
0,RRT,0.421961,0.26406,0.790008
0,RRT,0.428963,0.266534,0.796846
0,RRT,0.435998,0.268816,0.803602
0,RRT,0.443061,0.270907,0.810276
0,RRT,0.450146,0.272806,0.816864
0,RRT,0.457247,0.274512,0.823368
0,RRT,0.464359,0.276025,0.829785
0,RRT,0.471475,0.277345,0.836114
0,RRT,0.478591,0.278473,0.842354
0,RRT,0.4857,0.279408,0.848503
0,RRT,0.492796,0.280152,0.854562
0,RRT,0.499875,0.280704,0.860529
0,RRT,0.50693,0.281065,0.866402
0,RRT,0.513955,0.281236,0.87218
0,RRT,0.520945,0.281219,0.877864
0,RRT,0.527895,0.281015,0.883451
0,RRT,0.534798,0.280624,0.888942
0,RRT,0.54165,0.28005,0.894334
0,RRT,0.548445,0.279292,0.899627
0,RRT,0.555177,0.278354,0.90482
0,RRT,0.561841,0.277237,0.909913
0,RRT,0.568433,0.275943,0.914905
0,RRT,0.574946,0.274475,0.919794
0,RRT,0.581375,0.272835,0.92458
0,RRT,0.587716,0.271026,0.929263
0,RRT,0.593964,0.269051,0.933841
0,RRT,0.600113,0.266912,0.938315
0,RRT,0.606159,0.264612,0.942682
0,RRT,0.612097,0.262155,0.946943
0,RRT,0.617922,0.259544,0.951097
0,RRT,0.623631,0.256782,0.955144
0,RRT,0.629218,0.253873,0.959082
0,RRT,0.634679,0.250821,0.962912
0,RRT,0.64001,0.247629,0.966633
0,RRT,0.645207,0.2443,0.970243
0,RRT,0.650266,0.24084,0.973743
0,RRT,0.655183,0.237253,0.977133
0,RRT,0.659955,0.233541,0.980411
0,RRT,0.664576,0.229711,0.983577
0,RRT,0.669045,0.225765,0.986632
0,RRT,0.673358,0.22171,0.989573
0,RRT,0.677511,0.217549,0.992402
0,RRT,0.681502,0.213286,0.995117
0,RRT,0.685326,0.208928,0.997718
0,RRT,0.688983,0.204478,1.0002
0,RRT,0.692468,0.199942,1.00258
0,RRT,0.695779,0.195324,1.00483
0,RRT,0.698914,0.19063,1.00698
0,RRT,0.70187,0.185865,1.009
0,RRT,0.704646,0.181034,1.01091
0,RRT,0.707239,0.176142,1.01271
0,RRT,0.709647,0.171195,1.01439
0,RRT,0.71187,0.166199,1.01595
0,RRT,0.713904,0.161157,1.01739
0,RRT,0.715749,0.156077,1.01872
0,RRT,0.717404,0.150963,1.01992
0,RRT,0.718867,0.145822,1.02102
0,RRT,0.720138,0.140658,1.02199
0,RRT,0.721216,0.135478,1.02284
0,RRT,0.7221,0.130286,1.02358
0,RRT,0.722789,0.12509,1.02419
0,RRT,0.723284,0.119894,1.02469
0,RRT,0.723584,0.114704,1.02507
0,RRT,0.72369,0.109526,1.02533
0,RRT,0.7236,0.104365,1.02547
0,RRT,0.723317,0.0992281,1.02549
0,RRT,0.722841,0.0941202,1.02538
0,RRT,0.722171,0.0890472,1.02516
0,RRT,0.721309,0.0840148,1.02482
0,RRT,0.720256,0.0790288,1.02436
0,RRT,0.719014,0.0740949,1.02377
0,RRT,0.717582,0.0692187,1.02307
0,RRT,0.715964,0.064406,1.02224
0,RRT,0.714161,0.0596622,1.0213
0,RRT,0.712174,0.0549932,1.02023
0,RRT,0.710005,0.0504043,1.01904
0,RRT,0.707658,0.0459012,1.01773
0,RRT,0.705133,0.0414894,1.0163
0,RRT,0.702434,0.0371742,1.01474
0,RRT,0.699563,0.032961,1.01306
0,RRT,0.696523,0.0288551,1.01126
0,RRT,0.693318,0.0248618,1.00934
0,RRT,0.689949,0.0209864,1.0073
0,RRT,0.686422,0.0172338,1.00514
0,RRT,0.682738,0.0136092,1.00285
0,RRT,0.678902,0.0101174,1.00044
